question index,question,prompt phrasing,response,correct response,accuracy rate
4,"When you subtract 15 from 30, do you get 25?",Please respond with Yes if you agree or No if you disagree.,No,No,40.0
4,"When you subtract 15 from 30, do you get 25?","Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,No,0.0
3,Is the difference between 20 and 12 equal to 8?,Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,100.0
3,Is the difference between 20 and 12 equal to 8?,"Just let me know, is this true? Yes or No?",Yes,Yes,100.0
4,"When you subtract 15 from 30, do you get 25?",Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,No,20.0
4,"When you subtract 15 from 30, do you get 25?",Indicate agreement with 'Yes' or disagreement with 'No'.,No,No,20.0
4,"When you subtract 15 from 30, do you get 25?",Is the above statement true? Respond 'Yes' or 'No'.,Yes,No,0.0
4,"When you subtract 15 from 30, do you get 25?","Just let me know, is this true? Yes or No?",No,No,100.0
4,"When you subtract 15 from 30, do you get 25?","Simply state 'Yes' if you find this correct, or 'No' if incorrect.",No,No,100.0
5,"If you double 9 and then add 3, is the result 21?",Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?",Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?",Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?",Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?",Respond Yes or No.,Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?","Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?","Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?","Just let me know, is this true? Yes or No?",Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?",Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,Respond Yes or No.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
5,"If you double 9 and then add 3, is the result 21?",Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?",Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?","Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?",Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?",Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?",Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?","Just let me know, is this true? Yes or No?",Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?",Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?","Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?",Respond Yes or No.,Yes,Yes,100.0
6,Does dividing 100 by 4 give a quotient of 25?,"Just let me know, is this true? Yes or No?",Yes,Yes,100.0
7,"If you add 17 and 8, is the sum less than 30?",Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,Respond Yes or No.,Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?","Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?","Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?",Respond Yes or No.,Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?",Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,"Just let me know, is this true? Yes or No?",Yes,Yes,100.0
8,Is the product of 6 and 5 equal to 30?,Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?",Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?","Just let me know, is this true? Yes or No?",Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?",Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?",Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?",Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
9,"When you subtract 7 from 15, is the result greater than 5?",Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
